id,n_waters,xyz,cycle_hash,ttm_energy
625ea59e4285bda750b679a2,4,"12

O      29.729877500000001     28.790569300000001     13.366949999999999
H      28.916242600000000     28.547872500000000     12.932184200000000
H      30.057731600000000     29.576114700000002     12.897954000000000
O      30.710048700000002     31.154172899999999     12.319838499999999
H      30.858392700000000     31.591817899999999     13.174817100000000
H      31.429014200000001     31.430532500000002     11.757132500000001
O      30.536991100000002     29.595315899999999     15.885828999999999
H      31.014757199999998     28.893430700000000     16.320594799999999
H      30.215209999999999     29.219343200000001     15.049391699999999
O      31.074792899999998     32.116214800000002     14.886010199999999
H      30.920375799999999     31.269000999999999     15.336464899999999
H      30.691696199999999     32.784439100000000     15.448716200000000
",0T1Q0P0H,-27.6242619
625ea59e4285bda750b679a3,4,"12

O      -5.530756000000000     10.365735100000000      9.811447140000000
H      -4.821728230000000     10.913582800000000      9.485200880000001
H      -5.277328010000000      9.444252010000000      9.623783110000000
O      -7.679310800000000      9.068659780000001      8.337199210000000
H      -8.518597600000000      9.095878600000001      8.794610980000000
H      -7.126968860000000      9.728360179999999      8.778285029999999
O      -6.432138920000000      8.733660700000000     12.000013400000000
H      -6.027798650000000      8.901479719999999     12.849164999999999
H      -6.187329290000000      9.485937119999999     11.442495299999999
O      -5.500952240000000      7.625360490000000      9.519265170000001
H      -5.820353980000000      7.649724960000000     10.431637800000001
H      -6.282177450000000      7.790549280000000      8.973637580000000
",2T0Q0P0H,-22.7146149
625ea59e4285bda750b679a5,4,"12

O      -5.487021920000000     10.978905700000000      9.367355350000000
H      -5.362016680000000     10.065865499999999      9.679561610000000
H      -4.638732430000000     11.251023300000000      9.024708750000000
O      -7.480752940000000      9.459283830000000      8.093372340000000
H      -6.888049130000000     10.157432600000000      8.415561680000000
H      -8.364106180000000      9.798931120000001      8.217948910000000
O      -6.681014540000000      6.853363040000000     12.115285900000000
H      -6.923897270000000      7.251506810000000     12.951467500000000
H      -6.526614670000000      5.928327560000000     12.308366800000000
O      -5.595158580000000      8.267141340000000      9.861167910000001
H      -6.317060950000000      8.378093720000001      9.226435660000000
H      -5.966119770000000      7.789670470000000     10.611222300000000
",1T0Q0P0H,-21.1561985
625ea59e4285bda750b679a9,4,"12

O      18.058397299999999     14.858424200000000     14.395162600000001
H      17.842571299999999     14.929949799999999     15.322226499999999
H      17.298299799999999     15.231306999999999     13.919323000000000
O      19.192886399999999     16.516769400000001     12.454833000000001
H      19.869441999999999     16.128664000000001     11.890848200000001
H      19.046995200000001     15.894498799999999     13.183489800000000
O      16.405475599999999     16.308294300000000     12.664764399999999
H      17.304439500000001     16.564575200000000     12.402813000000000
H      15.926864600000000     16.171190299999999     11.850396200000000
O      21.699699400000000     16.886272399999999     11.454784399999999
H      21.031745900000001     17.298778500000001     12.017573400000000
H      22.465101199999999     16.774414100000001     12.017235800000000
",1T0Q0P0H,-20.0915661
625ea5b04285bda750b68e5e,10,"30

O       7.581982610000000     -0.663324770000000      5.483883860000000
H       8.362350460000000     -0.079370470000000      5.498567580000000
H       7.846055030000000     -1.464757200000000      5.041030880000000
O       9.456702229999999      1.642301080000000      8.570644379999999
H      10.114471399999999      1.655581000000000      9.261547090000001
H       9.181962009999999      2.562770840000000      8.428308489999999
O       9.664885520000000      1.027763610000000      5.758778100000000
H       9.485557560000000      1.914335850000000      5.411871910000000
H       9.760457990000001      1.144007330000000      6.710969450000000
O       6.000383380000000      4.009448050000000      7.349214080000000
H       5.983903880000000      4.025474550000000      6.383275510000000
H       5.536083220000000      3.203337670000000      7.608772750000000
O       4.833731170000000      1.482195020000000      7.883007530000000
H       5.628127100000000      0.955450120000000      8.084721569999999
H       4.134047510000000      1.149705890000000      8.438218120000000
O       7.110025880000000      0.051394890000000      8.205573080000001
H       7.262372970000000     -0.325556960000000      7.328944680000000
H       7.906465050000000      0.552607360000000      8.419908520000000
O       6.173881530000000      3.688445090000000      4.528872010000000
H       5.701079370000000      4.022632120000000      3.771772860000000
H       5.903837200000000      2.759263990000000      4.641063690000000
O       5.429551600000000      1.145089270000000      5.097751140000000
H       6.135000710000000      0.486118580000000      5.133624550000000
H       5.085167410000000      1.211727260000000      5.997292520000000
O       8.597597120000000      4.222480770000000      8.031750680000000
H       7.641802790000000      4.166800020000000      7.848542690000000
H       8.760176660000001      5.097825050000000      8.372748370000000
O       8.954336169999999      3.647526740000000      5.177083970000000
H       8.927373890000000      3.954237700000000      6.090421680000000
H       8.043264389999999      3.698852060000000      4.860042570000000
",0T5Q2P0H,-94.6706543
6269264a588cb4f0542f5c27,10,"30

O       0.248216478966933     -2.538576961170502      0.112772826334835
H      -0.647137002532622     -2.250722399419546      0.329433943400947
H       0.820289222064025     -2.158305266569497      0.792418200734262
O       2.636643718984375      0.233980722756487     -0.423291089953725
H       2.448613633881580     -0.165632573440114      0.435857092207609
H       2.327061605514514     -0.400094202281135     -1.082331302078435
O       1.810994694243942     -1.042568624822076      1.972931814964518
H       1.001083630444270     -0.557435491043235      2.215574442867388
H       2.260423396767282     -1.252527620792997      2.786612338273042
O      -2.292159261583025     -1.422187902748834      0.799211299324335
H      -2.457767962805595     -0.715161626021122      0.154469228661517
H      -3.135395182987096     -1.828124467880463      0.984540256171311
O      -0.546883657608727      0.176594896700385      2.450423080470784
H      -0.644265523778980      1.016785014931224      1.978066689061278
H      -1.207035182526666     -0.409005785130307      2.062368089966059
O      -2.616156130251541      0.649140071106327     -1.014754624143843
H      -1.840044253498210      0.629021806810688     -1.604196974158092
H      -3.330500534261132      1.032894361574100     -1.516145337265366
O      -0.373136070364988      0.683118452653947     -2.506315492646814
H       0.179345168260827      1.379620366590551     -2.127868720028073
H       0.171670475404646     -0.114332773921695     -2.510445850889939
O      -0.964609104366148      2.322719445411461      0.739961763303902
H      -1.609366743305434      1.882425494260677      0.174797853627039
H      -0.192925994314963      2.477691416824256      0.179890883546595
O       1.298849413345327     -1.583798746165718     -2.193123301776913
H       0.894389482512214     -1.999326606431725     -1.410201607944192
H       1.612305356871518     -2.291104016499130     -2.749741880674960
O       1.262897255793045      2.487935509964583     -1.038910187932630
H       1.817827500336560      1.732749729558317     -0.773138824722867
H       1.855819691343922      3.202624211094080     -1.253592088373143
",0T5Q2P0H,-94.67064277116668
62692597588cb4f0542f545e,10,"30

O       1.590941698871447      0.062209643208369     -1.886024299708984
H       1.558059549903823      0.458479642916804     -1.000901549621883
H       2.308867526350901      0.489327910063873     -2.347402129716531
O       0.636169212030989     -3.446930152541462      1.081836077095855
H      -0.257889289850778     -3.171874935610244      1.343820302574394
H       0.740322146876042     -4.346534889340271      1.382654745267014
O      -2.092187191609801     -1.265045261613420     -0.703367797575479
H      -1.371707957270454     -1.755529551196674     -1.127911146564179
H      -1.956042080020559     -0.343805127210655     -0.954499548525692
O       1.495745107446451      3.916654460677515      0.121297262802462
H       1.379171525367915      2.987828885869445      0.380651373923495
H       1.905661627331018      4.347649585201537      0.866784470425579
O      -0.562167961914120      3.942945581901792     -1.738189489665471
H       0.174200275614086      4.055936428328069     -1.115469056277647
H      -0.890504011691769      4.818567140294108     -1.924079573877565
O       0.597039295930441     -0.833386207452793      2.303971723301423
H      -0.337468157431223     -1.075862447257081      2.329001201719377
H       1.022158773929024     -1.630782276341089      1.968158851171244
O      -1.050722447151101      1.242355316157268     -1.475374359563245
H      -0.299314640920081      0.848931848712668     -1.935248191779384
H      -1.006542523059975      2.195737039501465     -1.641134065563578
O      -1.829532271701650     -2.255532652535804      1.775944526991155
H      -2.006368687759922     -1.873323480034768      0.895790675882118
H      -2.676367214184875     -2.455379112092249      2.163113800437004
O       0.257127429420033     -2.462795243010625     -1.602324024181396
H       0.816649372843878     -1.690211513597697     -1.751163066051175
H       0.540060933291693     -2.845690947198192     -0.762803122871208
O       0.910181024263188      1.252791291898386      0.548524300851118
H       0.839127153266543      0.573172689632203      1.233017738430903
H       0.078113871964250      1.257076472217747      0.054026059783553
",2T3Q2P2H,-87.05100402881521
625ea5cc4285bda750b6b407,10,"30

O      -0.757201020000000     -0.063334680000000      2.962597610000000
H      -1.238376980000000     -0.897394600000000      3.000745530000000
H      -0.151396200000000     -0.160483480000000      2.218462470000000
O       0.803688650000000     -3.253896710000000      2.249549870000000
H       1.428409580000000     -3.968641520000000      2.060366390000000
H       1.157367940000000     -2.439647440000000      1.864778640000000
O       1.854026320000000     -0.098371490000000      4.086871150000000
H       0.900069240000000      0.038447410000000      3.998022080000000
H       1.958384280000000     -0.964180470000000      4.503827570000000
O       1.690646410000000     -0.731049840000000      1.440594790000000
H       1.919532420000000     -0.449159000000000      2.344801660000000
H       2.286642790000000     -0.275834680000000      0.852746310000000
O      -0.079735690000000     -2.969559910000000      6.797707560000000
H      -0.925662930000000     -3.157915590000000      6.360659120000000
H      -0.285603580000000     -2.386945960000000      7.524889950000000
O      -2.407035110000000     -3.463322160000000      5.397605900000000
H      -3.087423090000000     -4.132384300000000      5.397518630000000
H      -2.261693240000000     -3.228267670000000      4.468574050000000
O      -1.827277660000000     -2.787846090000000      2.751706120000000
H      -0.907591040000000     -3.037221430000000      2.553697590000000
H      -2.317972900000000     -2.889401440000000      1.939662810000000
O       2.748382330000000     -5.168327810000000      1.970999720000000
H       2.874654770000000     -6.102666850000000      1.828213330000000
H       3.302738670000000     -4.937628750000000      2.735346320000000
O       4.080506320000000     -4.334566590000000      4.235157490000000
H       4.886719700000000     -3.949452880000000      4.568306920000000
H       3.358050350000000     -3.785368680000000      4.582638740000000
O       1.868862150000000     -2.816809890000000      4.868387220000000
H       1.412108540000000     -2.994786500000000      4.035748000000000
H       1.223935480000000     -2.910304550000000      5.584285740000000
",1T3Q2P1H,-86.5670547
625eabf04285bda750bb5fa4,16,"48

O       0.691331740000000     -2.695711850000000      1.453396800000000
H       0.324730720000000     -3.204859260000000      0.715010170000000
H       1.605662110000000     -2.987265350000000      1.553103330000000
O      -4.147213940000000      0.165909950000000      1.454361800000000
H      -3.216803070000000     -0.095512930000000      1.467100500000000
H      -4.510242940000000     -0.177784520000000      0.628496890000000
O      -0.508667590000000     -4.306624890000000     -0.499378590000000
H      -1.252652530000000     -3.755536320000000     -0.773222150000000
H      -0.866830950000000     -4.962620740000000      0.116613680000000
O      -6.103024960000000     -2.957123520000000      1.252186180000000
H      -5.463672640000000     -3.681418900000000      1.280359630000000
H      -5.981909280000000     -2.461521630000000      2.071746110000000
O      -3.770641800000000     -4.564133640000000      1.221337910000000
H      -3.122709750000000     -5.276747700000000      1.288920520000000
H      -3.445312980000000     -3.963353160000000      0.534837780000000
O      -5.313297750000000     -1.275179390000000      3.453919410000000
H      -5.800676820000000     -0.740146100000000      4.074239730000000
H      -4.936523910000000     -0.668522950000000      2.791269780000000
O      -1.428305630000000     -6.069269180000000      1.501091840000000
H      -0.765552100000000     -6.768031120000000      1.442488190000000
H      -1.156516550000000     -5.500585560000000      2.237007380000000
O       3.115337610000000     -4.095513340000000      1.737459420000000
H       2.732401130000000     -4.712533470000000      2.386874910000000
H       4.016128540000000     -3.935340170000000      2.004885200000000
O       1.782336000000000     -5.817297460000000      3.378583190000000
H       1.502064110000000     -6.555398940000000      2.823045250000000
H       0.974722620000000     -5.349374290000000      3.629535680000000
O      -3.050456520000000     -2.946000810000000      3.391902450000000
H      -3.813549520000000     -2.400121930000000      3.616957660000000
H      -3.349423170000000     -3.556093930000000      2.701071260000000
O      -5.236658570000000     -1.327829480000000     -0.755182920000000
H      -5.644172190000000     -1.915182830000000     -0.093334400000000
H      -5.906537530000000     -1.136172650000000     -1.405664210000000
O      -2.753366230000000     -2.637298820000000     -0.569469210000000
H      -2.359587670000000     -2.086741920000000      0.123832910000000
H      -3.567357060000000     -2.192862510000000     -0.835627320000000
O      -1.690044640000000     -1.234635590000000      1.610038400000000
H      -2.115471360000000     -1.772560480000000      2.293929580000000
H      -0.764956240000000     -1.509785060000000      1.583452820000000
O       0.893821840000000     -7.649758340000000      1.340725780000000
H       1.307498570000000     -7.052041530000000      0.692111310000000
H       1.150289540000000     -8.536621090000001      1.103461030000000
O      -0.571442780000000     -4.242887020000000      3.444924120000000
H      -1.400478120000000     -3.806211710000000      3.677770610000000
H      -0.113181530000000     -3.649746420000000      2.831540820000000
O       1.927106140000000     -5.739769940000000     -0.308209480000000
H       2.449291710000000     -5.153575900000000      0.253633350000000
H       1.164956570000000     -5.221974850000000     -0.600073930000000
",0T16Q0P12H,-167.249741
625eabf04285bda750bb5fa5,16,"48

O      -3.227570300000000      2.223866220000000      1.196449160000000
H      -2.349528550000000      2.632524490000000      1.183439250000000
H      -3.630127190000000      2.417260170000000      0.340526790000000
O      -3.767436740000000      2.490781550000000     -1.537860390000000
H      -3.439144850000000      1.590879080000000     -1.684167030000000
H      -4.117555620000000      2.788797140000000     -2.385963680000000
O      -0.086567570000000      1.240403650000000     -2.350449320000000
H      -0.396648260000000      2.121599440000000     -2.092865230000000
H      -0.032875520000000      1.246883870000000     -3.313647750000000
O      -2.698467730000000      1.635544780000000      3.916716810000000
H      -2.514952900000000      0.688691200000000      3.874549150000000
H      -3.101333380000000      1.868167760000000      3.069530730000000
O       0.635523320000000      0.255826000000000      3.139152290000000
H       0.497624990000000      1.155821440000000      3.460057260000000
H       0.742978930000000      0.326654400000000      2.181251050000000
O       0.263166250000000      0.593502760000000      0.351097110000000
H      -0.595645310000000      0.165091070000000      0.481611490000000
H       0.369664550000000      0.704226550000000     -0.602031890000000
O      -1.577411170000000      3.961311100000000     -4.338771340000000
H      -2.531941650000000      3.818471190000000     -4.369436260000000
H      -1.358993770000000      4.081756110000000     -3.405094860000000
O      -3.111028430000000      0.627023160000000     -4.648312090000000
H      -2.207023860000000      0.821764410000000     -4.926383500000000
H      -3.034981730000000      0.204098690000000     -3.782681230000000
O      -1.734485750000000     -1.045660970000000      3.491421220000000
H      -0.841152850000000     -0.662249390000000      3.427819730000000
H      -1.667598010000000     -1.812774780000000      4.053256030000000
O      -2.332718850000000     -0.403898030000000      0.818125190000000
H      -2.218066450000000     -0.803060590000000      1.689030170000000
H      -2.725241900000000      0.468717340000000      0.970690250000000
O      -0.449417260000000      1.607965110000000     -5.121055130000000
H       0.093799410000000      1.686899070000000     -5.900383470000000
H      -0.795279440000000      2.497898820000000     -4.925447460000000
O      -1.218812230000000      3.680706500000000     -1.543733950000000
H      -0.917105610000000      3.739597080000000     -0.628554170000000
H      -2.130770920000000      3.355970140000000     -1.510670300000000
O      -0.566575830000000      3.154385570000000      1.127267840000000
H      -0.384407340000000      3.248647210000000      2.070072650000000
H      -0.192160260000000      2.300370450000000      0.864058320000000
O      -0.271624650000000      2.878650670000000      3.911729810000000
H      -1.159329530000000      2.489457850000000      4.009720800000000
H      -0.120809860000000      3.422135590000000      4.680153370000000
O      -2.569676400000000     -0.016820160000000     -1.944246770000000
H      -2.575218440000000     -0.379937470000000     -1.049727680000000
H      -1.676825400000000      0.327543970000000     -2.094065670000000
O      -4.301709180000000      3.044762370000000     -4.249073510000000
H      -3.959135530000000      2.158206700000000     -4.464774610000000
H      -5.063235280000000      3.190080880000000     -4.803715230000000
",0T16Q0P12H,-167.179718
